Date,ES,VaR
2014-12-02,1436.56232854,1419.87449069
2014-12-01,1487.29195718,1469.32569999
2014-11-28,1487.27289905,1500.69769511
2014-11-26,1437.1570428,1424.6139437
2014-11-25,1524.61226946,1571.60561741
2014-11-24,1420.32467951,1408.0109862
2014-11-21,1433.81578027,1441.02327756
2014-11-20,1428.90796717,1453.84814659
2014-11-19,1438.90809306,1420.39292045
2014-11-18,1459.18106683,1466.73973463
2014-11-17,1457.1134311,1428.64685433
2014-11-14,1450.0098892,1485.71722313
2014-11-13,1375.92973159,1358.89043814
2014-11-12,1516.71697138,1553.20962677
2014-11-11,1480.24535657,1464.79174419
2014-11-10,1479.26468614,1483.0725796
2014-11-07,1403.44241078,1368.9995858
2014-11-06,1455.62069257,1434.93353173
2014-11-05,1378.66033724,1363.75704765
2014-11-04,1500.62705822,1492.78567792
2014-11-03,1391.30622935,1378.45904563
2014-10-31,1527.54337448,1506.823927
2014-10-30,1451.54316003,1460.13143898
2014-10-29,1464.80847197,1505.15053278
2014-10-28,1435.35794721,1443.52042699
2014-10-27,1456.15708571,1434.43185078
2014-10-24,1460.94816859,1478.6354727
2014-10-23,1427.71122913,1432.20264229
2014-10-22,1464.88495736,1486.85683028
2014-10-21,1436.87352,1419.29439523
2014-10-20,1508.61752966,1512.43962177
2014-10-17,1430.36677483,1410.68822299
2014-10-16,1449.23997644,1434.65342393
2014-10-15,1396.80913865,1393.11275551
2014-10-14,1491.35989068,1514.17342458
2014-10-13,1479.33389812,1491.55720486
2014-10-10,1420.53983122,1436.85028365
2014-10-09,1474.9315703,1485.78691007
2014-10-08,1431.70885027,1423.22961183
2014-10-07,1471.55027186,1453.09007212
2014-10-06,1384.36560515,1430.51770385
2014-10-03,1426.02067108,1448.69382248
2014-10-02,1433.75777848,1427.42398656
2014-10-01,1488.44930712,1496.85495067
2014-09-30,1513.90816228,1546.74406223
2014-09-29,1454.73539044,1453.49418704
2014-09-26,1469.16837972,1466.99198555
2014-09-25,1544.61787353,1528.3494554
2014-09-24,1450.07742152,1460.39843097
2014-09-23,1468.01600011,1451.21391402
2014-09-22,1513.38697914,1485.02531197
2014-09-19,1508.81283912,1481.96079092
2014-09-18,1473.56455904,1452.60877656
2014-09-17,1471.50120629,1496.25221867
2014-09-16,1430.57966833,1411.92393965
2014-09-15,1418.35375627,1417.22650816
2014-09-12,1442.49883635,1436.86325549
2014-09-11,1500.12041771,1480.2766956
2014-09-10,1500.55488341,1467.68644049
2014-09-09,1500.13919167,1492.1461225
2014-09-08,1452.78940236,1430.56864655
2014-09-05,1439.55729416,1415.70777963
2014-09-04,1467.70278576,1451.78051862
2014-09-03,1463.76109726,1455.54631297
2014-09-02,1461.94577217,1449.88271169
2014-08-29,1492.70974237,1479.325182
2014-08-28,1466.35809681,1422.63723751
2014-08-27,1463.89727521,1424.2386845
2014-08-26,1398.32842081,1370.92254421
2014-08-25,1434.18079322,1393.10083394
2014-08-22,1502.368186,1507.5784145
2014-08-21,1443.20428284,1436.85204482
2014-08-20,1463.32837172,1495.35125905
2014-08-19,1514.5891682,1505.86094239
2014-08-18,1461.23081959,1441.0773925
2014-08-15,1457.06051763,1465.73634504
2014-08-14,1448.84132619,1480.83922908
2014-08-13,1502.03681307,1461.66163525
2014-08-12,1471.32751158,1485.01991833
2014-08-11,1476.85518805,1483.1581687
2014-08-08,1493.21842158,1495.35652327
2014-08-07,1489.08978432,1507.26469412
2014-08-06,1520.42169168,1544.8014424
2014-08-05,1509.34185222,1553.96969586
2014-08-04,1501.13468105,1505.04108077
2014-08-01,1441.03366544,1440.60916862
2014-07-31,1481.37432802,1461.54627009
2014-07-30,1468.90000543,1501.0229303
2014-07-29,1474.20230568,1481.86982562
2014-07-28,1528.02871634,1527.0503075
2014-07-25,1574.89178225,1591.36327535
2014-07-24,1528.06474162,1522.45240491
2014-07-23,1479.32827283,1491.02178679
2014-07-22,1562.395187,1555.51895155
2014-07-21,1584.22893909,1578.84166167
2014-07-18,1494.29962145,1478.94919257
2014-07-17,1578.71498452,1578.65713677
2014-07-16,1537.33221772,1577.98923104
2014-07-15,1513.77407656,1523.01148276
2014-07-14,1449.79174391,1423.92717983
2014-07-11,1576.15782694,1593.97312494
2014-07-10,1539.0141094,1502.69246928
2014-07-09,1528.60031939,1561.56523721
2014-07-08,1474.30274216,1487.89898923
2014-07-07,1513.01285151,1498.74906986
2014-07-03,1531.12830448,1558.20490924
2014-07-02,1471.28683643,1482.82297958
2014-07-01,1546.26660824,1544.43872702
2014-06-30,1452.42545197,1435.75854729
2014-06-27,1494.8327553,1502.82086794
2014-06-26,1492.42047959,1479.38649123
2014-06-25,1415.98897497,1401.78267783
2014-06-24,1549.5973489,1545.09688085
2014-06-23,1500.66174688,1480.50508795
2014-06-20,1440.70020935,1406.71794178
2014-06-19,1580.42889086,1558.48446642
2014-06-18,1544.53849346,1473.8560683
2014-06-17,1542.2634725,1558.09902754
2014-06-16,1484.51044592,1505.29611864
2014-06-13,1504.11657659,1516.83151414
2014-06-12,1532.620685,1545.93628664
2014-06-11,1524.05382118,1526.53719626
2014-06-10,1558.35968203,1523.38759221
2014-06-09,1489.37880642,1482.06683329
2014-06-06,1501.28895135,1438.04785046
2014-06-05,1522.77626469,1554.62392572
2014-06-04,1459.41413615,1452.52310786
2014-06-03,1532.90649206,1501.32766389
2014-06-02,1527.65879302,1531.59180447
2014-05-30,1501.6725525,1467.66744051
2014-05-29,1510.09207935,1495.36499596
2014-05-28,1534.25348772,1541.98782055
2014-05-27,1546.38765523,1580.29504066
2014-05-23,1532.39095001,1498.66726111
2014-05-22,1544.20422715,1586.99135331
2014-05-21,1553.31540062,1587.3343068
2014-05-20,1446.46875364,1448.0832926
2014-05-19,1538.34752891,1521.89219661
2014-05-16,1502.08164719,1488.77368147
2014-05-15,1533.02127127,1519.65423978
2014-05-14,1499.90504333,1502.24727863
2014-05-13,1473.33817975,1486.52177629
2014-05-12,1532.08163222,1540.91225406
2014-05-09,1580.22011916,1621.53110593
2014-05-08,1423.8144727,1384.80066092
2014-05-07,1552.43754678,1513.53418108
2014-05-06,1520.95962481,1526.75290589
2014-05-05,1532.52050841,1585.64782072
2014-05-02,1519.38300654,1510.607092
2014-05-01,1552.77523303,1564.39521069
2014-04-30,1518.12250211,1504.08941935
2014-04-29,1517.98953282,1523.8101591
2014-04-28,1535.87251967,1505.20485733
2014-04-25,1583.06713064,1596.91364614
2014-04-24,1498.57104347,1460.71533079
2014-04-23,1545.9289099,1540.85413493
2014-04-22,1554.24101148,1559.03291935
2014-04-21,1510.59684546,1478.2242866
2014-04-17,1432.33390958,1450.48574645
2014-04-16,1404.3564124,1385.43531978
2014-04-15,1430.97479978,1448.73806629
